ticket_id,account_id,created_date,quarter,channel,category,priority,status,csat,subject,description
TCK-00001,ACME,2026-01-20,Q1-2026,Correo,Facturación,P3,Resuelto,3,Duda sobre el cobro de asientos adicionales,Vemos un incremento en el monto facturado. ¿Pueden detallar el desglose de asientos y el prorrateo aplicado este mes?
TCK-00002,ACME,2026-01-01,Q1-2026,Portal,Consulta / Cómo hacer,P3,Escalado,3,Configuración de notificaciones,Quisiéramos ajustar las notificaciones por correo de Nimbus Core. ¿Dónde se configura el umbral de alertas?
TCK-00003,ACME,2026-01-09,Q1-2026,Chat,Solicitud de función,P3,Resuelto,4,Reportes personalizados por área,Solicitamos poder crear reportes personalizados y programar su envío. Es una función clave para que nuestra dirección adopte la herramienta.
TCK-00004,ACME,2026-01-07,Q1-2026,Teléfono,Facturación,P2,Resuelto,5,Duda sobre el cobro de asientos adicionales,Vemos un incremento en el monto facturado. ¿Pueden detallar el desglose de asientos y el prorrateo aplicado este mes?
TCK-00005,ACME,2026-02-20,Q1-2026,Teléfono,Solicitud de función,P4,Escalado,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00006,ACME,2026-02-19,Q1-2026,Correo,Rendimiento,P2,En curso,5,Latencia alta en la API,Las respuestas de Nimbus Core superan los 8 segundos de latencia de forma constante. Necesitamos que esto se investigue porque rompe nuestras integraciones.
TCK-00007,ACME,2026-03-27,Q1-2026,Teléfono,Solicitud de función,P4,Escalado,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00008,ACME,2026-03-03,Q1-2026,Teléfono,Rendimiento,P3,Resuelto,5,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00009,ACME,2026-03-13,Q1-2026,Chat,Rendimiento,P3,Resuelto,4,Lentitud severa al cargar reportes,Los reportes en Nimbus Core tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00010,ACME,2026-03-01,Q1-2026,Portal,Rendimiento,P2,Escalado,3,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 120 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00011,ACME,2026-04-07,Q2-2026,Chat,Caída del servicio,P2,En curso,2,Caída durante horario crítico,El servicio se cayó justo durante nuestro cierre de turno. La falta de disponibilidad nos costó varias horas de trabajo. Solicitamos un reporte post-incidente formal.
TCK-00012,ACME,2026-04-15,Q2-2026,Portal,Caída del servicio,P2,Escalado,1,Intermitencias y errores 500,Desde esta mañana Nimbus Core responde de forma intermitente con errores 500. Es la segunda caída este mes y nuestro equipo de operaciones está muy molesto. ¿Pueden confirmar si hay un incidente abierto?
TCK-00013,ACME,2026-04-01,Q2-2026,Portal,Rendimiento,P3,En curso,1,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00014,ACME,2026-04-06,Q2-2026,Chat,Rendimiento,P2,Resuelto,1,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00015,ACME,2026-04-19,Q2-2026,Portal,Caída del servicio,P2,Resuelto,1,Servicio caído en producción,El panel de Nimbus Connect (API) lleva 20 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00016,ACME,2026-04-16,Q2-2026,Portal,Caída del servicio,P2,Escalado,2,Intermitencias y errores 500,Desde esta mañana Nimbus Connect (API) responde de forma intermitente con errores 500. Es la tercera caída este mes y nuestro equipo de operaciones está muy molesto. ¿Pueden confirmar si hay un incidente abierto?
TCK-00017,ACME,2026-04-07,Q2-2026,Correo,Bug / Error,P3,Resuelto,2,Los filtros del tablero no se guardan,"Al aplicar filtros en los reportes de Nimbus Connect (API) y recargar, se pierden. Parece un bug reciente; antes funcionaba bien."
TCK-00018,ACME,2026-04-18,Q2-2026,Correo,Caída del servicio,P2,Resuelto,1,Servicio caído en producción,El panel de Nimbus Analytics lleva 20 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
